side,price,size
OrderSide.BUY,128.3,1
OrderSide.BUY,128.3,1
OrderSide.BUY,128.3,4
OrderSide.BUY,128.29,1
OrderSide.BUY,128.29,2
OrderSide.BUY,128.28,2
OrderSide.BUY,128.27,2
OrderSide.BUY,128.27,3
OrderSide.BUY,128.26,3
OrderSide.BUY,128.22,5
OrderSide.BUY,128.19,1
OrderSide.BUY,128.19,2
OrderSide.BUY,128.18,5
OrderSide.BUY,128.18,3
OrderSide.BUY,128.18,2
OrderSide.BUY,128.18,3
OrderSide.BUY,128.18,4
OrderSide.BUY,128.17000000000002,4
OrderSide.BUY,128.17000000000002,3
OrderSide.BUY,128.17000000000002,4
OrderSide.BUY,128.17000000000002,4
OrderSide.BUY,128.17000000000002,1
OrderSide.BUY,128.17000000000002,3
OrderSide.BUY,128.16,1
OrderSide.BUY,128.15,1
OrderSide.BUY,128.15,1
OrderSide.BUY,128.14000000000001,2
OrderSide.BUY,128.12,3
OrderSide.BUY,128.03,2
OrderSide.BUY,127.97,1
OrderSide.BUY,127.97,1
OrderSide.BUY,127.97,2
OrderSide.BUY,127.97,4
OrderSide.BUY,127.96000000000001,2
OrderSide.BUY,127.96000000000001,2
OrderSide.BUY,127.96000000000001,4
OrderSide.BUY,127.96000000000001,1
OrderSide.BUY,127.96000000000001,5
OrderSide.BUY,127.96000000000001,6
OrderSide.BUY,127.96000000000001,2
OrderSide.BUY,127.95,3
OrderSide.BUY,127.94,2
OrderSide.BUY,127.89,3
OrderSide.BUY,127.88000000000001,2
OrderSide.BUY,127.87,1
OrderSide.BUY,127.87,1
OrderSide.BUY,127.87,2
OrderSide.BUY,127.86,2
OrderSide.BUY,127.86,2
OrderSide.BUY,127.86,2
OrderSide.BUY,127.86,1
OrderSide.BUY,127.85000000000001,1
OrderSide.BUY,127.84,3
OrderSide.BUY,127.83,2
OrderSide.BUY,127.83,1
OrderSide.BUY,127.83,1
OrderSide.BUY,127.83,3
OrderSide.BUY,127.82000000000001,1
